                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -12  0.6756354093116400E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.5615945990352339E-003  0.0000000000000000E+000  0.2807951194746645E-003  0.0000000000000000E+000
  0.8058508145809187E-003  0.6345831897487640E-003  0.0000000000000000E+000  0.3172884974440133E-003  0.0000000000000000E+000
  0.8985355336150906E-003  0.7075727404495767E-003  0.0000000000000000E+000  0.3537821910891439E-003  0.0000000000000000E+000
  0.1015312408327955E-002  0.7995365019224853E-003  0.0000000000000000E+000  0.3997623035782988E-003  0.0000000000000000E+000
  0.1132089283040820E-002  0.8915021645903991E-003  0.0000000000000000E+000  0.4457428749930950E-003  0.0000000000000000E+000
  0.1279221756401245E-002  0.1007376899829440E-002  0.0000000000000000E+000  0.5036766386994359E-003  0.0000000000000000E+000
  0.1426354229761671E-002  0.1123255405840158E-002  0.0000000000000000E+000  0.5616113365418383E-003  0.0000000000000000E+000
  0.1611735152971333E-002  0.1269263636728151E-002  0.0000000000000000E+000  0.6346082074284633E-003  0.0000000000000000E+000
  0.1797116076180994E-002  0.1415279393812352E-002  0.0000000000000000E+000  0.7076069563808978E-003  0.0000000000000000E+000
  0.2030692626033005E-002  0.1599268610652328E-002  0.0000000000000000E+000  0.7995870508279048E-003  0.0000000000000000E+000
  0.2264269175885016E-002  0.1783272870857858E-002  0.0000000000000000E+000  0.8915709021341259E-003  0.0000000000000000E+000
  0.2558579621254718E-002  0.2015145482398938E-002  0.0000000000000000E+000  0.1007478173378333E-002  0.0000000000000000E+000
  0.2852890066624421E-002  0.2247048205933754E-002  0.0000000000000000E+000  0.1123392996832955E-002  0.0000000000000000E+000
  0.3223742861706194E-002  0.2539310822431467E-002  0.0000000000000000E+000  0.1269465898640131E-002  0.0000000000000000E+000
  0.3594595656787967E-002  0.2831633446526685E-002  0.0000000000000000E+000  0.1415553883393150E-002  0.0000000000000000E+000
  0.3952604464096419E-002  0.3113895483703159E-002  0.0000000000000000E+000  0.1556598303379288E-002  0.0000000000000000E+000
  0.4310613271404873E-002  0.3396226236254863E-002  0.0000000000000000E+000  0.1697659737021671E-002  0.0000000000000000E+000
  0.4845359651442472E-002  0.3818076786210007E-002  0.0000000000000000E+000  0.1908395689480549E-002  0.0000000000000000E+000
  0.5251527948472638E-002  0.4138619588294058E-002  0.0000000000000000E+000  0.2068490870595926E-002  0.0000000000000000E+000
  0.5657696245502804E-002  0.4459279979754670E-002  0.0000000000000000E+000  0.2228615513321269E-002  0.0000000000000000E+000
  0.6234014187594004E-002  0.4914489350335598E-002  0.0000000000000000E+000  0.2455873410293604E-002  0.0000000000000000E+000
  0.6810332129685205E-002  0.5369980030618346E-002  0.0000000000000000E+000  0.2683201241317924E-002  0.0000000000000000E+000
  0.7588488093606408E-002  0.5985485300899607E-002  0.0000000000000000E+000  0.2990266359959113E-002  0.0000000000000000E+000
  0.8366644057527611E-002  0.6601615455421111E-002  0.0000000000000000E+000  0.3297486861097646E-002  0.0000000000000000E+000
  0.9385314974818423E-002  0.7409233593696705E-002  0.0000000000000000E+000  0.3699926682436084E-002  0.0000000000000000E+000
  0.1040398589210923E-001  0.8218179694134960E-002  0.0000000000000000E+000  0.4102697419974086E-002  0.0000000000000000E+000
  0.1171476086814543E-001  0.9261277241383989E-002  0.0000000000000000E+000  0.4621493990329637E-002  0.0000000000000000E+000
  0.1302553584418163E-001  0.1030711779115350E-001  0.0000000000000000E+000  0.5140969306968797E-002  0.0000000000000000E+000
  0.1446018013167572E-001  0.1145532507507937E-001  0.0000000000000000E+000  0.5710467967999702E-002  0.0000000000000000E+000
  0.1589482441916982E-001  0.1260765397210329E-001  0.0000000000000000E+000  0.6280998955255704E-002  0.0000000000000000E+000
  0.1799517913431332E-001  0.1430287824495828E-001  0.0000000000000000E+000  0.7117960610495975E-002  0.0000000000000000E+000
  0.2009553384945683E-001  0.1600887680909975E-001  0.0000000000000000E+000  0.7957599177936096E-002  0.0000000000000000E+000
  0.2156244728672809E-001  0.1720761299811905E-001  0.0000000000000000E+000  0.8546118248542563E-002  0.0000000000000000E+000
  0.2285668774265139E-001  0.1827066035628573E-001  0.0000000000000000E+000  0.9066648159432190E-002  0.0000000000000000E+000
  0.2402206014039376E-001  0.1923247164781822E-001  0.0000000000000000E+000  0.9536483480704416E-002  0.0000000000000000E+000
  0.2508691058860281E-001  0.2011534844497018E-001  0.0000000000000000E+000  0.9966785564255200E-002  0.0000000000000000E+000
  0.2660034910300451E-001  0.2137713743371179E-001  0.0000000000000000E+000  0.1058005359036806E-001  0.0000000000000000E+000
  0.2796375434824161E-001  0.2252125471079199E-001  0.0000000000000000E+000  0.1113436217309011E-001  0.0000000000000000E+000
  0.2937457257037916E-001  0.2371299403069207E-001  0.0000000000000000E+000  0.1170986137315500E-001  0.0000000000000000E+000
  0.3066646190291267E-001  0.2481163593208896E-001  0.0000000000000000E+000  0.1223865820551875E-001  0.0000000000000000E+000
  0.3186224053576833E-001  0.2583512729920512E-001  0.0000000000000000E+000  0.1272971920134298E-001  0.0000000000000000E+000
