                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -14  0.5945715662438736E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.1224114334958620E-002  0.0000000000000000E+000  0.6120524263564949E-003  0.0000000000000000E+000
  0.8058508145809187E-003  0.1383208439526671E-002  0.0000000000000000E+000  0.6915974818693516E-003  0.0000000000000000E+000
  0.8985355336150906E-003  0.1542304641581638E-002  0.0000000000000000E+000  0.7711432283838009E-003  0.0000000000000000E+000
  0.1015312408327955E-002  0.1742759166854351E-002  0.0000000000000000E+000  0.8713666414192424E-003  0.0000000000000000E+000
  0.1132089283040820E-002  0.1943217845315138E-002  0.0000000000000000E+000  0.9715910598602598E-003  0.0000000000000000E+000
  0.1279221756401245E-002  0.2195791435291905E-002  0.0000000000000000E+000  0.1097870006525654E-002  0.0000000000000000E+000
  0.1426354229761671E-002  0.2448373261089881E-002  0.0000000000000000E+000  0.1224150998266582E-002  0.0000000000000000E+000
  0.1611735152971333E-002  0.2766629249655502E-002  0.0000000000000000E+000  0.1383263212006241E-002  0.0000000000000000E+000
  0.1797116076180994E-002  0.3084901673546376E-002  0.0000000000000000E+000  0.1542379535153206E-002  0.0000000000000000E+000
  0.2030692626033005E-002  0.3485945382678227E-002  0.0000000000000000E+000  0.1742869767825585E-002  0.0000000000000000E+000
  0.2264269175885016E-002  0.3887021937851410E-002  0.0000000000000000E+000  0.1943368217318667E-002  0.0000000000000000E+000
  0.2558579621254718E-002  0.4392437866599676E-002  0.0000000000000000E+000  0.2196012912168876E-002  0.0000000000000000E+000
  0.2852890066624421E-002  0.4897919534030538E-002  0.0000000000000000E+000  0.2448674118414965E-002  0.0000000000000000E+000
  0.3223742861706194E-002  0.5534968678379305E-002  0.0000000000000000E+000  0.2767071396529939E-002  0.0000000000000000E+000
  0.3594595656787967E-002  0.6172148813921919E-002  0.0000000000000000E+000  0.3085501640079294E-002  0.0000000000000000E+000
  0.3952604464096419E-002  0.6787399929028156E-002  0.0000000000000000E+000  0.3392938436591640E-002  0.0000000000000000E+000
  0.4310613271404873E-002  0.7402801030461149E-002  0.0000000000000000E+000  0.3700412410360224E-002  0.0000000000000000E+000
  0.4845359651442472E-002  0.8322316199649302E-002  0.0000000000000000E+000  0.4159757283369240E-002  0.0000000000000000E+000
  0.5251527948472638E-002  0.9021009417857375E-002  0.0000000000000000E+000  0.4508719726844589E-002  0.0000000000000000E+000
  0.5657696245502804E-002  0.9719959274658839E-002  0.0000000000000000E+000  0.4857746527277398E-002  0.0000000000000000E+000
  0.6234014187594004E-002  0.1071218882475832E-001  0.0000000000000000E+000  0.5353105238683797E-002  0.0000000000000000E+000
  0.6810332129685205E-002  0.1170503230019320E-001  0.0000000000000000E+000  0.5848616695125416E-002  0.0000000000000000E+000
  0.7588488093606408E-002  0.1304666452537638E-001  0.0000000000000000E+000  0.6517933782857466E-002  0.0000000000000000E+000
  0.8366644057527611E-002  0.1438966041399339E-001  0.0000000000000000E+000  0.7187590191684940E-002  0.0000000000000000E+000
  0.9385314974818423E-002  0.1615005055082841E-001  0.0000000000000000E+000  0.8064799610026503E-002  0.0000000000000000E+000
  0.1040398589210923E-001  0.1791333850360962E-001  0.0000000000000000E+000  0.8942731561058742E-002  0.0000000000000000E+000
  0.1171476086814543E-001  0.2018701968566409E-001  0.0000000000000000E+000  0.1007357056997331E-001  0.0000000000000000E+000
  0.1302553584418163E-001  0.2246668626218332E-001  0.0000000000000000E+000  0.1120589138577450E-001  0.0000000000000000E+000
  0.1446018013167572E-001  0.2496949427225562E-001  0.0000000000000000E+000  0.1244725289639382E-001  0.0000000000000000E+000
  0.1589482441916982E-001  0.2748129543391062E-001  0.0000000000000000E+000  0.1369086777600696E-001  0.0000000000000000E+000
  0.1799517913431332E-001  0.3117649643148890E-001  0.0000000000000000E+000  0.1551524097941749E-001  0.0000000000000000E+000
  0.2009553384945683E-001  0.3489520619726975E-001  0.0000000000000000E+000  0.1734545694444195E-001  0.0000000000000000E+000
  0.2156244728672809E-001  0.3750820813195156E-001  0.0000000000000000E+000  0.1862829593438431E-001  0.0000000000000000E+000
  0.2285668774265139E-001  0.3982544684543900E-001  0.0000000000000000E+000  0.1976293737645306E-001  0.0000000000000000E+000
  0.2402206014039376E-001  0.4192201962502866E-001  0.0000000000000000E+000  0.2078707860345020E-001  0.0000000000000000E+000
  0.2508691058860281E-001  0.4384653760100873E-001  0.0000000000000000E+000  0.2172504825342476E-001  0.0000000000000000E+000
  0.2660034910300451E-001  0.4659703196853938E-001  0.0000000000000000E+000  0.2306185007550016E-001  0.0000000000000000E+000
  0.2796375434824161E-001  0.4909103552641580E-001  0.0000000000000000E+000  0.2427013645208332E-001  0.0000000000000000E+000
  0.2937457257037916E-001  0.5168886294137852E-001  0.0000000000000000E+000  0.2552461880789343E-001  0.0000000000000000E+000
  0.3066646190291267E-001  0.5408376471976472E-001  0.0000000000000000E+000  0.2667730272411947E-001  0.0000000000000000E+000
  0.3186224053576833E-001  0.5631486002970360E-001  0.0000000000000000E+000  0.2774773277662069E-001  0.0000000000000000E+000
